,time,type,size,price,direction
2019-12-16 11:01:00,39717.948993964,1,100,5752300,-1
2019-12-16 11:02:00,39779.728115501,1,100,5746400,1
2019-12-16 11:03:00,39839.557942814,5,100,5749600,-1
2019-12-16 11:04:00,39895.399485703,1,100,5751700,-1
2019-12-16 11:05:00,39958.743783427,1,8,5750000,-1
2019-12-16 11:06:00,40019.701028647,1,12,5744700,-1
2019-12-16 11:07:00,40078.759044346,1,100,5749200,-1
2019-12-16 11:08:00,40139.011990348,1,100,5744300,-1
2019-12-16 11:09:00,40197.550875099,1,8,5739700,-1
2019-12-16 11:10:00,40259.520892181004,1,9,5731300,-1
2019-12-16 11:11:00,40319.702551648,3,157,5729200,1
2019-12-16 11:12:00,40379.252955683,1,34,5727400,1
2019-12-16 11:13:00,40439.975806384,1,100,5720900,-1
2019-12-16 11:14:00,40499.69577557,5,100,5717800,1
2019-12-16 11:15:00,40559.903584859,3,100,5724600,-1
2019-12-16 11:16:00,40619.991549282,1,10,5720200,1
2019-12-16 11:17:00,40679.999934952,1,4,5724100,-1
2019-12-16 11:18:00,40738.028330061,1,20,5721300,1
2019-12-16 11:19:00,40799.276481004,3,100,5726600,-1
2019-12-16 11:20:00,40859.764720309,3,10,5719600,1
2019-12-16 11:21:00,40919.091380264,3,10,5728200,-1
2019-12-16 11:22:00,40979.370141565,1,6,5722500,1
2019-12-16 11:23:00,41039.864187821004,1,10,5727500,-1
2019-12-16 11:24:00,41099.706918813,3,10,5718500,1
2019-12-16 11:25:00,41158.805142264,3,100,5719000,1
2019-12-16 11:26:00,41210.903303308,3,13,5724600,-1
2019-12-16 11:27:00,41279.803136143,1,4,5724800,-1
2019-12-16 11:28:00,41339.889029574,1,6,5722700,1
2019-12-16 11:29:00,41399.472577606,3,10,5719100,1
2019-12-16 11:30:00,41459.590342954,1,9,5720800,1
2019-12-16 11:31:00,41516.738413344,1,11,5721100,1
2019-12-16 11:32:00,41579.743828189,1,100,5725400,-1
2019-12-16 11:33:00,41639.062905244,1,4,5725500,-1
2019-12-16 11:34:00,41699.525269357,1,4,5724600,-1
2019-12-16 11:35:00,41756.356053512995,4,10,5723000,-1
2019-12-16 11:36:00,41819.839478719,1,10,5721300,1
2019-12-16 11:37:00,41876.486618443,1,10,5725300,-1
2019-12-16 11:38:00,41939.419827767,1,100,5730200,-1
2019-12-16 11:39:00,41999.727919278,1,100,5724000,1
2019-12-16 11:40:00,42059.720287106,1,14,5726800,-1
2019-12-16 11:41:00,42117.992430453,3,100,5725100,1
2019-12-16 11:42:00,42179.834281396004,1,1,5731800,-1
2019-12-16 11:43:00,42239.973636753,1,100,5725100,-1
2019-12-16 11:44:00,42299.966927705,1,9,5717100,1
2019-12-16 11:45:00,42359.760502821,1,100,5715600,1
2019-12-16 11:46:00,42419.128648337,1,100,5721200,-1
2019-12-16 11:47:00,42473.51814298,1,10,5723600,-1
2019-12-16 11:48:00,42537.131553787,1,100,5722500,-1
2019-12-16 11:49:00,42599.692912865,1,100,5723300,-1
2019-12-16 11:50:00,42659.777838203,1,9,5722700,-1
2019-12-16 11:51:00,42718.959690972995,1,100,5720800,-1
2019-12-16 11:52:00,42779.755313725,3,100,5717800,1
2019-12-16 11:53:00,42839.598169778,1,100,5728400,-1
2019-12-16 11:54:00,42899.596941329,1,10,5725500,-1
2019-12-16 11:55:00,42959.7087398,1,4,5726400,-1
2019-12-16 11:56:00,43019.768887505,3,11,5724800,1
2019-12-16 11:57:00,43076.576749597996,3,13,5725800,1
2019-12-16 11:58:00,43139.012387614,1,100,5733700,-1
2019-12-16 11:59:00,43199.395511702,1,6,5730000,-1
2019-12-16 12:00:00,43254.60150618,3,10,5731700,-1
2019-12-16 12:01:00,43319.661660569,3,7,5721000,1
2019-12-16 12:02:00,43378.790452139,1,10,5724800,-1
2019-12-16 12:03:00,43438.490609026,1,5,5717300,1
2019-12-16 12:04:00,43499.386766071,1,9,5725800,-1
2019-12-16 12:05:00,43559.129262827,1,10,5721900,-1
2019-12-16 12:06:00,43616.936246841,3,11,5722100,-1
2019-12-16 12:07:00,43679.636930693,1,3,5717500,1
2019-12-16 12:08:00,43724.704761829,1,100,5716400,1
2019-12-16 12:09:00,43799.839659257,3,100,5717000,1
2019-12-16 12:10:00,43859.799308334,1,14,5717300,1
2019-12-16 12:11:00,43919.967513234,1,14,5725300,-1
2019-12-16 12:12:00,43978.872326302,1,100,5721600,-1
2019-12-16 12:13:00,44039.077209245,3,100,5714000,1
2019-12-16 12:14:00,44098.186278252004,1,5,5721000,-1
2019-12-16 12:15:00,44159.162377079,1,100,5721300,-1
2019-12-16 12:16:00,44219.497054878,3,100,5715500,1
2019-12-16 12:17:00,44277.67024383,1,10,5720900,-1
2019-12-16 12:18:00,44336.843633592995,1,10,5720900,-1
2019-12-16 12:19:00,44399.591619147,1,10,5721300,-1
2019-12-16 12:20:00,44459.37707862,3,100,5719100,-1
2019-12-16 12:21:00,44519.862918637,1,100,5719000,-1
2019-12-16 12:22:00,44579.542119334,3,9,5718300,-1
2019-12-16 12:23:00,44638.749552844005,1,4,5716800,-1
2019-12-16 12:24:00,44699.791951248,3,100,5707700,1
2019-12-16 12:25:00,44759.672227721,3,11,5703400,1
2019-12-16 12:26:00,44819.8028814,1,100,5700700,1
2019-12-16 12:27:00,44879.834416782,1,100,5706900,-1
2019-12-16 12:28:00,44939.514754265,3,10,5703100,-1
2019-12-16 12:29:00,44999.918375513,1,5,5700200,-1
2019-12-16 12:30:00,45058.875119207994,1,200,5697900,1
2019-12-16 12:31:00,45119.029102055996,3,100,5700100,-1
2019-12-16 12:32:00,45179.485242311,3,9,5695800,1
2019-12-16 12:33:00,45235.14995937901,3,9,5694900,-1
2019-12-16 12:34:00,45299.874256936,1,100,5694400,-1
2019-12-16 12:35:00,45359.019488164005,3,9,5699400,-1
2019-12-16 12:36:00,45419.96087779,3,100,5692200,1
2019-12-16 12:37:00,45476.544709645,3,9,5698400,-1
2019-12-16 12:38:00,45538.976684505,3,9,5695200,-1
2019-12-16 12:39:00,45599.734113652004,1,9,5690900,1
2019-12-16 12:40:00,45659.916120052,3,9,5695300,-1
2019-12-16 12:41:00,45719.9616123,1,9,5694800,-1
2019-12-16 12:42:00,45777.301063357,1,100,5703800,-1
2019-12-16 12:43:00,45839.831098544004,3,9,5687800,1
2019-12-16 12:44:00,45899.739700075,3,9,5688800,1
2019-12-16 12:45:00,45958.201608852,3,8,5699800,-1
2019-12-16 12:46:00,46017.005107906,3,100,5697600,1
2019-12-16 12:47:00,46076.753704635,1,100,5696200,1
2019-12-16 12:48:00,46137.900040354005,4,2,5699000,-1
2019-12-16 12:49:00,46199.617132877,1,100,5696900,1
2019-12-16 12:50:00,46259.414388166,1,9,5700000,-1
2019-12-16 12:51:00,46317.729734139,1,10,5701200,-1
