,time,type,size,price,direction
2019-12-16 09:30:17.181120000,34217.181119739,5,100,5775900,1
2019-12-16 09:30:17.206705000,34217.206704761,5,100,5781100,-1
2019-12-16 09:30:17.209298000,34217.209297906,5,100,5781300,-1
2019-12-16 09:30:17.210470000,34217.210470267004,5,100,5781300,-1
2019-12-16 09:30:17.362202000,34217.362201857,5,70,5776000,1
2019-12-16 09:30:17.728213000,34217.728212546004,5,30,5776000,1
2019-12-16 09:30:17.728213000,34217.728212546004,5,70,5775800,1
2019-12-16 09:30:18.874750000,34218.874750308,5,20,5775600,1
2019-12-16 09:30:22.397808000,34222.39780826,4,100,5778900,-1
2019-12-16 09:30:22.793556000,34222.793555904,5,100,5778500,1
2019-12-16 09:30:23.647339000,34223.647338812,4,10,5779600,-1
2019-12-16 09:30:23.681088000,34223.681087941004,4,100,5780700,-1
2019-12-16 09:30:23.681446000,34223.681445643,4,75,5780700,-1
2019-12-16 09:30:23.713771000,34223.713770607996,5,100,5778500,1
2019-12-16 09:30:23.713771000,34223.713770607996,5,50,5778300,1
2019-12-16 09:30:25.021027000,34225.021027413,5,100,5779500,1
2019-12-16 09:30:26.583373000,34226.583373372,4,100,5782800,1
2019-12-16 09:30:26.585369000,34226.585368555,4,150,5782800,1
2019-12-16 09:30:27.625526000,34227.625525691,5,2,5787900,-1
2019-12-16 09:30:27.625665000,34227.62566495,5,2,5787900,-1
2019-12-16 09:30:27.625791000,34227.625791487,5,2,5787900,-1
2019-12-16 09:30:27.625913000,34227.625912851,5,2,5787900,-1
2019-12-16 09:30:27.626039000,34227.626038965,5,2,5787900,-1
2019-12-16 09:30:27.626161000,34227.626161087,5,2,5787900,-1
2019-12-16 09:30:27.626284000,34227.626283595,5,2,5787900,-1
2019-12-16 09:30:27.626402000,34227.626401978,5,2,5787900,-1
2019-12-16 09:30:27.626532000,34227.62653247,4,2,5788000,-1
2019-12-16 09:30:29.301777000,34229.301777106004,5,100,5787400,1
2019-12-16 09:30:29.352211000,34229.352211213,4,100,5786800,1
2019-12-16 09:30:29.515646000,34229.515645685,4,100,5786800,1
2019-12-16 09:30:29.812849000,34229.812848759,5,100,5783100,1
2019-12-16 09:30:30.223475000,34230.223475193,4,91,5790200,1
2019-12-16 09:30:30.223548000,34230.223548023,4,259,5790200,1
2019-12-16 09:30:32.540694000,34232.540694487005,4,100,5782800,1
2019-12-16 09:30:32.540740000,34232.540740456,5,100,5782800,1
2019-12-16 09:30:32.558801000,34232.558800822,4,100,5782800,1
2019-12-16 09:30:32.558801000,34232.558800822,5,100,5782800,1
2019-12-16 09:30:32.559216000,34232.559215782,4,100,5782800,1
2019-12-16 09:30:32.559216000,34232.559215782,5,60,5782800,1
2019-12-16 09:30:32.559735000,34232.559735463,4,100,5782800,1
2019-12-16 09:30:32.559735000,34232.559735463,5,100,5782800,1
2019-12-16 09:30:33.013882000,34233.01388213,4,100,5782800,1
2019-12-16 09:30:33.329980000,34233.32997973,5,100,5783100,1
2019-12-16 09:30:33.329980000,34233.32997973,4,100,5782800,1
2019-12-16 09:30:33.330226000,34233.330225647005,4,60,5782800,1
2019-12-16 09:30:33.330265000,34233.330264837,4,40,5782800,1
2019-12-16 09:30:33.564582000,34233.564581837,4,100,5782800,1
2019-12-16 09:30:33.564582000,34233.564581837,5,40,5782800,1
2019-12-16 09:30:37.639986000,34237.639985706,5,40,5778200,-1
2019-12-16 09:30:37.928798000,34237.928797996,5,60,5779000,1
2019-12-16 09:30:40.104069000,34240.104069363,5,100,5777200,-1
2019-12-16 09:30:43.151416000,34243.151415922,5,25,5772900,1
2019-12-16 09:30:45.699887000,34245.699886722,5,15,5773000,1
2019-12-16 09:30:45.699887000,34245.699886722,4,30,5772900,1
2019-12-16 09:30:45.699887000,34245.699886722,4,15,5772800,1
2019-12-16 09:30:51.132113000,34251.132113003,5,62,5777800,-1
2019-12-16 09:30:51.150185000,34251.150184642,5,13,5777000,-1
2019-12-16 09:30:51.154558000,34251.154558112,5,13,5777000,-1
2019-12-16 09:30:51.156563000,34251.156562692006,5,12,5777000,-1
2019-12-16 09:30:51.156563000,34251.156562692006,5,1,5777700,-1
2019-12-16 09:30:51.158185000,34251.158185259,5,13,5777700,-1
2019-12-16 09:30:51.216431000,34251.21643073,5,13,5777700,-1
2019-12-16 09:30:51.216675000,34251.216674662,5,13,5777700,-1
2019-12-16 09:30:51.222189000,34251.222189493,5,13,5777700,-1
2019-12-16 09:30:51.237905000,34251.237905132,5,13,5777700,-1
2019-12-16 09:30:51.757233000,34251.757232864,5,13,5777500,-1
2019-12-16 09:30:51.761441000,34251.761441498,5,13,5776600,-1
2019-12-16 09:30:57.587050000,34257.587050397,5,70,5774600,1
2019-12-16 09:30:59.507618000,34259.507617627,5,13,5777900,-1
2019-12-16 09:30:59.507619999,34259.5076196,5,13,5777900,-1
2019-12-16 09:30:59.507776000,34259.507775779,5,13,5777900,-1
2019-12-16 09:30:59.507891000,34259.507891039,5,13,5777900,-1
2019-12-16 09:30:59.508009000,34259.508008648,5,1,5777900,-1
2019-12-16 09:30:59.509229999,34259.509229885,5,13,5777900,-1
2019-12-16 09:30:59.509366000,34259.509366122,5,13,5777900,-1
2019-12-16 09:30:59.509507999,34259.509508025,5,13,5777900,-1
2019-12-16 09:30:59.509629000,34259.509629471,4,13,5778000,-1
2019-12-16 09:30:59.549525000,34259.54952459,5,183,5780600,-1
2019-12-16 09:31:01.379460000,34261.37945997,4,8,5775100,-1
2019-12-16 09:31:03.256699000,34263.256699352,5,13,5774500,1
2019-12-16 09:31:03.355986000,34263.35598571,5,50,5780400,-1
2019-12-16 09:31:03.355986000,34263.35598571,5,75,5780500,-1
2019-12-16 09:31:03.611743000,34263.611742748,4,6,5775100,-1
2019-12-16 09:31:21.375355000,34281.375355425,4,2,5779600,-1
2019-12-16 09:31:21.375358000,34281.375357868,5,2,5779600,-1
2019-12-16 09:31:23.723091000,34283.723091037995,5,1,5776600,1
2019-12-16 09:31:38.383549000,34298.383548936,5,22,5780500,1
2019-12-16 09:31:48.052914000,34308.052913807005,5,2,5779600,-1
2019-12-16 09:31:49.396296000,34309.396295704,5,1,5778600,1
2019-12-16 09:31:54.011659000,34314.011658762,4,2,5781700,-1
2019-12-16 09:31:54.290649000,34314.290648862,5,1,5778800,1
2019-12-16 09:31:54.434402000,34314.434401746,5,1,5781200,-1
2019-12-16 09:31:58.271721000,34318.271721332996,5,89,5782300,-1
2019-12-16 09:32:04.365502000,34324.365502337,5,100,5783200,-1
2019-12-16 09:32:04.367093000,34324.367092511,5,100,5783400,-1
2019-12-16 09:32:04.482830000,34324.482830426,5,100,5783400,-1
2019-12-16 09:32:05.383210000,34325.38321017,5,100,5780700,1
2019-12-16 09:32:05.385712000,34325.385711896,5,3,5780500,1
2019-12-16 09:32:05.385712000,34325.385711896,5,70,5780200,1
2019-12-16 09:32:05.385712000,34325.385711896,4,100,5780000,1
2019-12-16 09:32:05.385712000,34325.385711896,4,400,5780000,1
2019-12-16 09:32:11.156735000,34331.156735221004,5,3,5780000,-1
2019-12-16 09:32:14.143631000,34334.143631094,5,200,5780000,-1
2019-12-16 09:32:18.586499000,34338.58649912,4,51,5780300,1
2019-12-16 09:32:20.062712000,34340.062712195,5,95,5779100,1
2019-12-16 09:32:20.062712000,34340.062712195,4,234,5778500,1
2019-12-16 09:32:20.062831000,34340.062831299,4,63,5778500,1
2019-12-16 09:32:20.062838000,34340.062837617996,4,3,5778500,1
2019-12-16 09:32:20.062838000,34340.062837617996,4,96,5778500,1
2019-12-16 09:32:20.062974000,34340.062974008,4,4,5778500,1
2019-12-16 09:32:20.062974000,34340.062974008,4,93,5778400,1
2019-12-16 09:32:20.064029000,34340.064028956,4,7,5778400,1
2019-12-16 09:32:23.186182000,34343.186182491,4,87,5778800,1
2019-12-16 09:32:23.186425000,34343.186424662,4,13,5778800,1
2019-12-16 09:32:24.702805000,34344.702805391,5,100,5775800,1
2019-12-16 09:32:26.151441000,34346.151441151,5,1,5776000,1
2019-12-16 09:32:26.362233000,34346.362233068,5,100,5776000,1
2019-12-16 09:32:26.363160000,34346.36316011,5,100,5775800,1
2019-12-16 09:32:28.430924000,34348.430923671,4,100,5775700,1
2019-12-16 09:32:28.809185000,34348.809185317004,5,13,5775700,1
2019-12-16 09:32:28.809185000,34348.809185317004,4,387,5774200,1
2019-12-16 09:32:31.613956000,34351.613955626,5,40,5777750,1
2019-12-16 09:32:33.245457000,34353.245457042,4,60,5774200,1
2019-12-16 09:32:33.246195000,34353.246194602005,4,53,5774200,1
2019-12-16 09:32:33.246912000,34353.246912202005,4,58,5773000,1
2019-12-16 09:32:33.247121000,34353.247120658,4,42,5773000,1
2019-12-16 09:32:45.816322000,34365.816322301,4,100,5772400,1
2019-12-16 09:32:48.683769000,34368.683769159,5,100,5770100,1
2019-12-16 09:32:48.683769000,34368.683769159,5,7,5770100,1
2019-12-16 09:33:04.359534000,34384.359533612005,4,20,5775000,-1
2019-12-16 09:33:04.359534000,34384.359533612005,4,30,5775000,-1
2019-12-16 09:33:04.386155000,34384.386155156004,4,100,5775100,-1
2019-12-16 09:33:17.983262000,34397.983262026,4,1,5775400,-1
2019-12-16 09:33:20.302376000,34400.302376447995,5,1,5776000,-1
2019-12-16 09:33:20.302557000,34400.302556521005,5,1,5776000,-1
2019-12-16 09:33:20.302675000,34400.302674642,4,1,5776300,-1
2019-12-16 09:33:39.632733000,34419.632733496,4,5,5773100,1
2019-12-16 09:33:44.778054000,34424.778054003,4,2,5770000,1
2019-12-16 09:33:44.778054000,34424.778054003,4,2,5770000,1
2019-12-16 09:33:44.778054000,34424.778054003,4,3,5770000,1
2019-12-16 09:33:44.778054000,34424.778054003,4,93,5770000,1
2019-12-16 09:33:46.436640000,34426.43664004,5,100,5771400,-1
2019-12-16 09:34:07.486636000,34447.486636363,4,100,5774600,-1
2019-12-16 09:34:18.915522000,34458.915522119,5,7,5772300,-1
2019-12-16 09:34:29.927094000,34469.92709425,5,100,5774400,-1
2019-12-16 09:34:30.005900000,34470.005899515,5,89,5774000,-1
2019-12-16 09:34:30.006014000,34470.006013813,4,11,5774000,1
2019-12-16 09:34:30.313342000,34470.313341769,4,100,5774500,-1
2019-12-16 09:34:34.743797000,34474.743797368996,5,1,5774800,1
2019-12-16 09:34:36.792860000,34476.792859807,5,99,5774800,1
2019-12-16 09:34:36.792860000,34476.792859807,5,100,5774600,1
2019-12-16 09:34:36.792860000,34476.792859807,5,1,5774600,1
2019-12-16 09:34:37.343401000,34477.343400666,4,50,5774500,1
2019-12-16 09:34:41.747377000,34481.747376682004,5,100,5777800,-1
2019-12-16 09:34:41.977647000,34481.977647397005,5,1,5774800,1
2019-12-16 09:34:41.984667000,34481.98466662,5,100,5774800,1
2019-12-16 09:34:45.038236000,34485.038235526,5,1,5774900,1
2019-12-16 09:34:45.199394000,34485.199394444,5,24,5774900,1
