,time,type,size,price,direction
2019-12-10 09:30:02.651137000,34202.651136577,4,3,11140000,1
2019-12-10 09:30:03.116384000,34203.116384425,5,9,11144300,1
2019-12-10 09:30:04.053912000,34204.053912105,5,14,11142700,1
2019-12-10 09:30:05.139677000,34205.139676763996,5,24,11144400,1
2019-12-10 09:30:05.375313000,34205.375313268996,5,10,11145250,1
2019-12-10 09:30:05.376085000,34205.37608531,5,11,11145250,1
2019-12-10 09:30:05.376176000,34205.376175644,4,24,11144800,-1
2019-12-10 09:30:06.871879000,34206.871878694,5,100,11145050,1
2019-12-10 09:30:06.896672000,34206.896672421004,5,25,11141600,1
2019-12-10 09:30:06.919539000,34206.919538597,4,97,11140000,1
2019-12-10 09:30:06.919539000,34206.919538597,4,3,11140000,1
2019-12-10 09:30:06.920028000,34206.920027852,4,67,11140000,1
2019-12-10 09:30:06.920028000,34206.920027852,4,5,11140000,1
2019-12-10 09:30:06.920028000,34206.920027852,4,13,11140000,1
2019-12-10 09:30:06.920123000,34206.920123487995,4,100,11139700,1
2019-12-10 09:30:06.920234000,34206.920234306,4,100,11139600,1
2019-12-10 09:30:06.922013000,34206.922012683,5,2,11139400,1
2019-12-10 09:30:06.930513000,34206.930513122,4,1,11138300,-1
2019-12-10 09:30:06.930539000,34206.930538973,4,1,11138300,-1
2019-12-10 09:30:06.951476000,34206.951476247996,4,19,11133500,-1
2019-12-10 09:30:06.951476000,34206.951476247996,5,10,11139000,1
2019-12-10 09:30:07.438103000,34207.438103181004,5,2,11134500,1
2019-12-10 09:30:07.449435000,34207.449434752,5,3,11133100,1
2019-12-10 09:30:09.374661000,34209.374660823,5,35,11135600,1
2019-12-10 09:30:10.552959000,34210.552959431,4,1,11133000,1
2019-12-10 09:30:10.880074000,34210.880073937005,4,2,11133000,1
2019-12-10 09:30:10.885123000,34210.885123187996,4,1,11130000,1
2019-12-10 09:30:10.885123000,34210.885123187996,4,8,11130000,1
2019-12-10 09:30:10.885123000,34210.885123187996,4,3,11130000,1
2019-12-10 09:30:10.885123000,34210.885123187996,4,5,11130000,1
2019-12-10 09:30:10.885123000,34210.885123187996,4,6,11130000,1
2019-12-10 09:30:10.887699000,34210.887698607,5,4,11128200,1
2019-12-10 09:30:10.887699000,34210.887698607,4,1,11128300,-1
2019-12-10 09:30:10.887716000,34210.887716482,4,1,11128300,-1
2019-12-10 09:30:10.898269000,34210.898268865,5,6,11123200,1
2019-12-10 09:30:10.944400000,34210.944400493,5,21,11123200,1
2019-12-10 09:30:10.994507000,34210.994506614,5,100,11126600,1
2019-12-10 09:30:11.047498000,34211.047498358,5,3,11121600,1
2019-12-10 09:30:11.299777000,34211.299777357,5,14,11121600,1
2019-12-10 09:30:11.339403000,34211.339402545,5,100,11126600,1
2019-12-10 09:30:11.339403000,34211.339402545,5,100,11127700,1
2019-12-10 09:30:11.951484000,34211.951483937,5,100,11128200,1
2019-12-10 09:30:11.951519000,34211.951518564,5,12,11128200,1
2019-12-10 09:30:11.951519000,34211.951518564,5,8,11128200,1
2019-12-10 09:30:11.951522000,34211.951521759,5,92,11128200,1
2019-12-10 09:30:11.951522000,34211.951521759,4,2,11128300,-1
2019-12-10 09:30:11.951538000,34211.951537563,4,48,11128300,-1
2019-12-10 09:30:11.951538000,34211.951537563,4,50,11128300,-1
2019-12-10 09:30:11.951538000,34211.951537563,4,2,11128300,-1
2019-12-10 09:30:11.951551000,34211.951550592,4,48,11128300,-1
2019-12-10 09:30:11.951551000,34211.951550592,4,100,11128300,-1
2019-12-10 09:30:11.951551000,34211.951550592,4,20,11128300,-1
2019-12-10 09:30:11.951551000,34211.951550592,4,100,11128300,-1
2019-12-10 09:30:11.951551000,34211.951550592,4,100,11128300,-1
2019-12-10 09:30:11.951551000,34211.951550592,4,5,11128300,-1
2019-12-10 09:30:11.951608000,34211.951607667004,4,5,11129600,-1
2019-12-10 09:30:11.951611000,34211.951610747004,4,15,11129900,-1
2019-12-10 09:30:11.951634000,34211.951633659,4,10,11129900,-1
2019-12-10 09:30:11.951634000,34211.951633659,4,25,11130000,-1
2019-12-10 09:30:11.952289000,34211.952289252,4,1,11132600,-1
2019-12-10 09:30:11.952289000,34211.952289252,4,28,11132800,-1
2019-12-10 09:30:11.971065000,34211.971064861,4,1,11137100,-1
2019-12-10 09:30:11.971104000,34211.971104102005,4,30,11137200,-1
2019-12-10 09:30:11.971137000,34211.971137141,4,30,11137200,1
2019-12-10 09:30:11.971137000,34211.971137141,4,70,11137100,1
2019-12-10 09:30:11.972310000,34211.972310431,4,30,11137100,1
2019-12-10 09:30:11.993248000,34211.99324791,4,1,11139900,1
2019-12-10 09:30:11.993248000,34211.99324791,4,1,11139900,1
2019-12-10 09:30:12.037630000,34212.037629793,5,1,11142000,1
2019-12-10 09:30:13.047773000,34213.047772927,4,1,11136300,-1
2019-12-10 09:30:13.047837000,34213.047837322,4,28,11139400,-1
2019-12-10 09:30:13.051837000,34213.0518366,4,1,11132800,-1
2019-12-10 09:30:13.052313000,34213.052313439,4,1,11132700,-1
2019-12-10 09:30:13.111547000,34213.111546538996,4,1,11139100,-1
2019-12-10 09:30:13.117380000,34213.117379609,5,1,11131900,1
2019-12-10 09:30:14.161278000,34214.161278233,5,27,11140100,1
2019-12-10 09:30:14.161344000,34214.161343638,5,50,11140100,1
2019-12-10 09:30:14.179978000,34214.179977706,5,1,11143400,1
2019-12-10 09:30:15.409325000,34215.40932518,5,100,11133100,1
2019-12-10 09:30:21.219221000,34221.219220924,5,1,11140800,1
2019-12-10 09:30:26.684412000,34226.684412057,5,9,11128900,1
2019-12-10 09:30:26.684412000,34226.684412057,4,1,11128500,1
2019-12-10 09:30:26.684516000,34226.684515807,4,50,11129700,-1
2019-12-10 09:30:26.684557000,34226.684557406,4,15,11130800,-1
2019-12-10 09:30:26.684600000,34226.684600488,4,1,11132100,-1
2019-12-10 09:30:26.691925000,34226.691924981,5,6,11128900,1
2019-12-10 09:30:26.692922000,34226.692922354,5,3,11128900,1
2019-12-10 09:30:26.692922000,34226.692922354,4,3,11128500,1
2019-12-10 09:30:26.695468000,34226.695468499,5,9,11128900,1
2019-12-10 09:30:26.695468000,34226.695468499,4,2,11128500,1
2019-12-10 09:30:26.696749000,34226.69674879,4,100,11129600,-1
2019-12-10 09:30:26.697113000,34226.69711317,5,5,11128900,1
2019-12-10 09:30:26.913670000,34226.913670233,5,4,11128900,1
2019-12-10 09:30:26.913670000,34226.913670233,4,45,11128500,1
2019-12-10 09:30:39.240601000,34239.240601001,4,7,11125400,1
2019-12-10 09:30:39.240601000,34239.240601001,5,20,11125400,1
2019-12-10 09:30:39.240601000,34239.240601001,5,62,11124600,1
2019-12-10 09:30:39.242269000,34239.242269367,4,8,11123200,1
2019-12-10 09:30:39.242269000,34239.242269367,5,3,11123200,1
2019-12-10 09:30:39.656842000,34239.656841922,5,87,11130600,1
2019-12-10 09:30:42.375921000,34242.375920558996,5,100,11138200,1
2019-12-10 09:30:42.803210000,34242.803209734,4,25,11138500,-1
2019-12-10 09:30:42.803210000,34242.803209734,4,25,11138500,-1
2019-12-10 09:30:42.803210000,34242.803209734,5,50,11138500,1
2019-12-10 09:30:42.803241000,34242.803240787995,5,50,11138500,1
2019-12-10 09:30:42.803281000,34242.803281105,4,46,11138500,1
2019-12-10 09:30:42.803287000,34242.803286614,4,54,11138500,1
2019-12-10 09:30:44.843833000,34244.843832697996,5,100,11135900,1
2019-12-10 09:30:44.844753000,34244.844753427,5,100,11137000,1
2019-12-10 09:30:44.977990000,34244.977989727005,5,100,11125700,1
2019-12-10 09:30:45.358552000,34245.358551579,4,29,11135200,-1
2019-12-10 09:30:45.358552000,34245.358551579,5,43,11135400,1
2019-12-10 09:30:45.358902000,34245.358902047,4,1,11135500,-1
2019-12-10 09:30:45.605553000,34245.605553418,4,1,11130600,-1
2019-12-10 09:30:57.213800000,34257.213800371,4,6,11130800,1
2019-12-10 09:30:59.010188000,34259.010187622,4,1,11130800,-1
2019-12-10 09:30:59.011266000,34259.011265842004,4,18,11130700,-1
2019-12-10 09:30:59.011299000,34259.011298631,4,81,11130700,-1
2019-12-10 09:30:59.011329000,34259.011328707995,5,81,11130600,1
2019-12-10 09:30:59.011340000,34259.011339797005,5,7,11130600,1
2019-12-10 09:30:59.997620000,34259.997619986,5,9,11131200,1
2019-12-10 09:31:00.554009000,34260.554009435,4,25,11138400,-1
2019-12-10 09:31:00.554009000,34260.554009435,4,25,11138400,-1
2019-12-10 09:31:00.554499000,34260.554499016,4,50,11138500,-1
2019-12-10 09:31:00.554509000,34260.554509322996,4,50,11138500,-1
2019-12-10 09:31:00.554931000,34260.554931052,4,50,11138500,-1
2019-12-10 09:31:00.619754000,34260.61975443,4,20,11138500,-1
2019-12-10 09:31:00.619785000,34260.619785136,4,25,11138500,-1
2019-12-10 09:31:00.620119000,34260.620119032996,4,5,11138500,-1
2019-12-10 09:31:00.620119000,34260.620119032996,4,89,11138500,-1
2019-12-10 09:31:00.620119000,34260.620119032996,4,25,11138500,-1
2019-12-10 09:31:00.620119000,34260.620119032996,4,25,11138500,-1
2019-12-10 09:31:00.620488000,34260.620487557004,4,100,11138900,-1
2019-12-10 09:31:00.622000000,34260.622000334,4,100,11138900,1
2019-12-10 09:31:00.622347000,34260.622347232995,5,1,11137400,1
2019-12-10 09:31:00.624691000,34260.62469069,4,1,11139600,-1
2019-12-10 09:31:00.624730000,34260.624730269,4,24,11140900,-1
2019-12-10 09:31:00.719271000,34260.719270526,5,9,11139400,1
2019-12-10 09:31:08.834078000,34268.834077646,4,2,11130800,-1
2019-12-10 09:31:09.084764000,34269.08476387,4,2,11130600,1
2019-12-10 09:31:12.793154000,34272.793154366,4,11,11132200,1
2019-12-10 09:31:12.913312000,34272.913312441,5,11,11128900,1
2019-12-10 09:31:12.913312000,34272.913312441,4,7,11128500,1
2019-12-10 09:31:12.914464000,34272.914463779,4,1,11126600,1
2019-12-10 09:31:12.916761000,34272.916761097,5,42,11124300,1
2019-12-10 09:31:17.026993000,34277.026992895,4,6,11129400,1
2019-12-10 09:31:18.686852000,34278.686851923,5,72,11124400,1
2019-12-10 09:31:18.686852000,34278.686851923,5,28,11124300,1
2019-12-10 09:31:18.686887000,34278.686887393,5,72,11124300,1
2019-12-10 09:31:18.686887000,34278.686887393,4,21,11124200,1
2019-12-10 09:31:18.687266000,34278.687265962995,4,79,11124200,1
2019-12-10 09:31:19.906179000,34279.90617928,4,1,11126100,-1
2019-12-10 09:31:23.899786000,34283.899785725,4,100,11123100,1
2019-12-10 09:31:23.910578000,34283.910578051,4,10,11121000,1
2019-12-10 09:31:23.910603000,34283.910603018,4,24,11121500,-1
2019-12-10 09:31:23.912999000,34283.912999052,4,7,11121000,1
2019-12-10 09:31:23.913034000,34283.91303445,4,24,11121500,-1
2019-12-10 09:31:24.359486000,34284.359486344,4,5,11120000,1
2019-12-10 09:31:24.359486000,34284.359486344,4,95,11120000,1
2019-12-10 09:31:24.360256000,34284.360255852,4,5,11120000,1
2019-12-10 09:31:24.360256000,34284.360255852,4,12,11120000,1
2019-12-10 09:31:24.360256000,34284.360255852,4,2,11120000,1
2019-12-10 09:31:25.154798000,34285.154798487994,5,100,11121600,1
2019-12-10 09:31:27.731054000,34287.731053971,4,6,11118100,1
2019-12-10 09:31:27.731298000,34287.731298281,4,1,11115100,1
2019-12-10 09:31:27.731319000,34287.731318832004,5,17,11114600,1
2019-12-10 09:31:27.731350000,34287.731350351,5,2,11114600,1
2019-12-10 09:31:27.731453000,34287.731453127,5,49,11114600,1
2019-12-10 09:31:27.737605000,34287.737604848,4,6,11111300,1
2019-12-10 09:31:28.454502000,34288.454502381,4,1,11116200,-1
2019-12-10 09:31:28.459901000,34288.45990124,4,100,11116200,1
2019-12-10 09:31:33.259126000,34293.259125518,5,24,11119300,1
2019-12-10 09:31:35.248286000,34295.248285944,4,25,11119900,-1
2019-12-10 09:31:35.389443000,34295.38944335,4,25,11124300,-1
2019-12-10 09:31:35.389443000,34295.38944335,4,23,11124300,-1
2019-12-10 09:31:35.389472000,34295.389472012,4,2,11124300,-1
2019-12-10 09:31:35.401716000,34295.401715666,4,25,11124300,-1
2019-12-10 09:31:35.515800000,34295.515800394,5,1,11120400,1
2019-12-10 09:31:35.516671000,34295.516670865,5,1,11120400,1
2019-12-10 09:31:35.520352999,34295.520353051004,5,1,11120400,1
2019-12-10 09:31:35.520880000,34295.520880154,5,1,11120400,1
2019-12-10 09:31:35.522288000,34295.522288157,5,1,11120400,1
2019-12-10 09:31:35.523332000,34295.523332419,5,1,11120400,1
2019-12-10 09:31:35.524225999,34295.524225997004,5,1,11120400,1
2019-12-10 09:31:35.525781000,34295.525781428,5,1,11120400,1
2019-12-10 09:31:35.526136000,34295.526136476,5,1,11120400,1
2019-12-10 09:31:35.528089999,34295.528089929,5,1,11120400,1
2019-12-10 09:31:35.530012000,34295.530012208,5,1,11120400,1
2019-12-10 09:31:35.532080000,34295.532080475,5,1,11120400,1
2019-12-10 09:31:35.534161000,34295.534160823,5,1,11120400,1
2019-12-10 09:31:35.536064000,34295.536063508,5,1,11120400,1
2019-12-10 09:31:35.537979000,34295.537978931,5,1,11120400,1
2019-12-10 09:31:35.539904000,34295.539903684,5,1,11120400,1
2019-12-10 09:31:35.541820000,34295.541820499995,5,1,11120400,1
2019-12-10 09:31:35.543716000,34295.543716322005,5,1,11120400,1
2019-12-10 09:31:35.545617000,34295.545617402,4,1,11120000,1
2019-12-10 09:31:35.857917000,34295.857916585,5,6,11115600,1
2019-12-10 09:31:44.046575000,34304.046575266,5,100,11116100,1
