,time,type,size,price,direction
2019-12-06 11:00:00,39659.705896772,1,25,11258200,-1
2019-12-06 11:01:00,39719.582924711,1,10,11244700,1
2019-12-06 11:02:00,39779.095776087,1,25,11258200,-1
2019-12-06 11:03:00,39839.977388128,1,78,11271800,-1
2019-12-06 11:04:00,39899.280402223,1,3,11259900,1
2019-12-06 11:05:00,39959.240800245,1,20,11267600,-1
2019-12-06 11:06:00,40019.722631419,1,29,11240300,1
2019-12-06 11:07:00,40079.903405129,3,20,11263800,-1
2019-12-06 11:08:00,40139.885386365,1,21,11264000,-1
2019-12-06 11:09:00,40199.766011779,3,24,11253400,1
2019-12-06 11:10:00,40259.410229245,1,90,11267600,-1
2019-12-06 11:11:00,40319.324463715,1,35,11263400,-1
2019-12-06 11:12:00,40379.808258332,1,25,11261200,-1
2019-12-06 11:13:00,40439.988525135,1,20,11264900,-1
2019-12-06 11:14:00,40499.73548481,3,79,11243100,1
2019-12-06 11:15:00,40559.95135802,1,26,11235000,1
2019-12-06 11:16:00,40619.797500527005,1,1,11242000,-1
2019-12-06 11:17:00,40679.264217382995,1,1,11249300,-1
2019-12-06 11:18:00,40739.791708389,1,37,11257700,-1
2019-12-06 11:19:00,40799.386684542995,1,32,11241900,1
2019-12-06 11:20:00,40859.451725800005,1,20,11251100,-1
2019-12-06 11:21:00,40919.931119773,1,74,11241000,1
2019-12-06 11:22:00,40979.73747978,1,25,11268000,-1
2019-12-06 11:23:00,41038.597351905,5,20,11254900,1
2019-12-06 11:24:00,41098.712155461,1,70,11267600,-1
2019-12-06 11:25:00,41159.941489098,1,22,11264400,-1
2019-12-06 11:26:00,41215.111957596004,1,100,11249100,1
2019-12-06 11:27:00,41279.198657968,1,21,11264500,-1
2019-12-06 11:28:00,41339.979811553,1,67,11272100,-1
2019-12-06 11:29:00,41399.960846496004,1,75,11271800,-1
2019-12-06 11:30:00,41459.141699946,1,22,11264300,-1
2019-12-06 11:31:00,41518.317989627,1,23,11260500,-1
2019-12-06 11:32:00,41579.799367052,1,1,11248800,-1
2019-12-06 11:33:00,41639.391436049,3,1,11246000,-1
2019-12-06 11:34:00,41699.855325483,1,20,11222600,1
2019-12-06 11:35:00,41759.753770489,3,82,11239800,-1
2019-12-06 11:36:00,41819.313381185,3,23,11230800,1
2019-12-06 11:37:00,41878.390521492,1,21,11230900,1
2019-12-06 11:38:00,41939.089060572005,1,18,11236200,1
2019-12-06 11:39:00,41998.47462619,3,78,11249000,-1
2019-12-06 11:40:00,42059.519024044,1,20,11248200,-1
2019-12-06 11:41:00,42119.897725389,1,26,11241400,-1
2019-12-06 11:42:00,42178.44509987,1,80,11241700,-1
2019-12-06 11:43:00,42239.449772297005,1,20,11228800,1
2019-12-06 11:44:00,42299.624344155,1,100,11242300,-1
2019-12-06 11:45:00,42359.209271022,1,10,11240800,1
2019-12-06 11:46:00,42418.876991122,1,20,11233100,1
2019-12-06 11:47:00,42479.251677049,3,24,11247000,-1
2019-12-06 11:48:00,42539.159936994,1,10,11239600,1
2019-12-06 11:49:00,42599.083277229,1,110,11242900,-1
2019-12-06 11:50:00,42659.919080807995,3,1,11243900,-1
2019-12-06 11:51:00,42719.022930353996,1,25,11246600,-1
2019-12-06 11:52:00,42779.833099109,1,24,11250100,-1
2019-12-06 11:53:00,42839.515037959,1,100,11253900,-1
2019-12-06 11:54:00,42899.242416837005,1,80,11236200,1
2019-12-06 11:55:00,42959.86136167,1,21,11240600,1
2019-12-06 11:56:00,43019.935663306,1,61,11262600,-1
2019-12-06 11:57:00,43079.680434648,1,130,11244800,1
2019-12-06 11:58:00,43139.783998437,1,37,11235900,1
2019-12-06 11:59:00,43199.28430644,1,110,11235600,1
2019-12-06 12:00:00,43259.984479877996,3,100,11248500,-1
2019-12-06 12:01:00,43319.781147745,1,25,11220000,1
2019-12-06 12:02:00,43379.91753567,1,25,11246100,-1
2019-12-06 12:03:00,43438.455710468,1,80,11228300,1
2019-12-06 12:04:00,43499.393245139,1,110,11246800,-1
2019-12-06 12:05:00,43558.579811624,1,120,11241600,-1
2019-12-06 12:06:00,43619.921124907,1,1,11235100,-1
2019-12-06 12:07:00,43679.459194731004,1,22,11234900,-1
2019-12-06 12:08:00,43739.996484539,1,15,11225900,1
2019-12-06 12:09:00,43799.711167821,1,1,11233400,-1
2019-12-06 12:10:00,43859.483973006,1,20,11227600,1
2019-12-06 12:11:00,43919.75761646,1,24,11240000,-1
2019-12-06 12:12:00,43979.632080746,1,20,11236600,-1
2019-12-06 12:13:00,44039.103783973,1,24,11215100,1
2019-12-06 12:14:00,44098.277386098,1,24,11220400,1
2019-12-06 12:15:00,44157.753649117,1,20,11210500,1
2019-12-06 12:16:00,44219.685944135,1,100,11213500,1
2019-12-06 12:17:00,44279.609058837,1,25,11222000,-1
2019-12-06 12:18:00,44339.741023605,1,90,11209000,1
2019-12-06 12:19:00,44397.99251368,1,100,11225400,-1
